window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
103,3600.0,7369214.0,7372814.0,3419,3024,4.995850694505112,4.995850694505112,0.23809441068613782
104,3600.0,7372814.0,7376414.0,984,844,4.433512437811007,4.433512437811007,0.25227929954212835
105,3600.0,7376414.0,7380014.0,2169,1272,3.9411596482447577,3.9411596482447577,0.31417340521114434
106,3600.0,7380014.0,7383614.0,819,572,0.0246004248192973,0.0246004248192973,75.32987201477879
107,3600.0,7383614.0,7387214.0,2783,2273,0.05921819725206438,0.05921819725206438,23.469022856223024
108,3600.0,7387214.0,7390814.0,3568,2581,3.785596555058016,3.785596555058016,0.32454424303160284
109,3600.0,7390814.0,7394414.0,3208,2527,1.917435893032864,1.917435893032864,0.7427723899473958
110,3600.0,7394414.0,7398014.0,7583,3456,11.053094581230631,11.053094581230631,0.09421590552415864
111,3600.0,7398014.0,7401614.0,2897,2614,3.0515197169180057,3.0515197169180057,0.4511906414537761
112,3600.0,7401614.0,7405214.0,6007,2921,3.1933480795488274,3.1933480795488274,0.3858371400857799
113,3600.0,7405214.0,7408814.0,5677,3084,3.936817266922724,3.936817266922724,0.29626531621140045
114,3600.0,7408814.0,7412414.0,4726,3075,5.437272481512951,5.437272481512951,0.215256180013875
115,3600.0,7412414.0,7416014.0,4913,3130,2.7947629053985077,2.7947629053985077,0.4114267630252154
116,3600.0,7416014.0,7419614.0,1854,1395,0.12958931262490828,0.12958931262490828,10.670599842806366
117,3600.0,7419614.0,7423214.0,0,0,,,
118,3600.0,7423214.0,7426814.0,5064,2852,6.4550808481227335,6.4550808481227335,0.18245627184007673
119,3600.0,7426814.0,7430414.0,1841,1242,8.186206398903185,8.186206398903185,0.1405490591147937
120,3600.0,7430414.0,7434014.0,425,322,0.008631617037164313,0.008631617037164313,1090.1709201976066
121,3600.0,7434014.0,7437614.0,2367,1243,0.8660821782318702,0.8660821782318702,3.3421884062702
122,3600.0,7437614.0,7441214.0,8249,2342,1.7242329555465614,1.7242329555465614,0.8900107257232742
123,3600.0,7441214.0,7444814.0,9165,2763,3.928995377588234,3.928995377588234,0.2962467791336407
124,3600.0,7444814.0,7448414.0,6308,1957,0.5549813220251429,0.5549813220251429,3.2676595838424913
125,3600.0,7448414.0,7452014.0,2551,1607,0.026514251170159576,0.026514251170159576,83.62200560590865
