window_index,window_seconds,window_start_timestamp,window_end_timestamp,request_count,inter_arrival_count,gamma,alpha,beta
156,1200.0,2823910.0,2825110.0,3,2,1.5302606310013718,1.5302606310013718,54.56586826347306
157,1200.0,2825110.0,2826310.0,0,0,,,
158,1200.0,2826310.0,2827510.0,0,0,,,
159,1200.0,2827510.0,2828710.0,0,0,,,
160,1200.0,2828710.0,2829910.0,0,0,,,
161,1200.0,2829910.0,2831110.0,0,0,,,
162,1200.0,2831110.0,2832310.0,0,0,,,
163,1200.0,2832310.0,2833510.0,0,0,,,
164,1200.0,2833510.0,2834710.0,0,0,,,
165,1200.0,2834710.0,2835910.0,0,0,,,
166,1200.0,2835910.0,2837110.0,0,0,,,
167,1200.0,2837110.0,2838310.0,0,0,,,
168,1200.0,2838310.0,2839510.0,0,0,,,
169,1200.0,2839510.0,2840710.0,0,0,,,
170,1200.0,2840710.0,2841910.0,0,0,,,
171,1200.0,2841910.0,2843110.0,10,0,,,
172,1200.0,2843110.0,2844310.0,0,0,,,
173,1200.0,2844310.0,2845510.0,0,0,,,
174,1200.0,2845510.0,2846710.0,0,0,,,
175,1200.0,2846710.0,2847910.0,0,0,,,
176,1200.0,2847910.0,2849110.0,0,0,,,
177,1200.0,2849110.0,2850310.0,0,0,,,
178,1200.0,2850310.0,2851510.0,0,0,,,
179,1200.0,2851510.0,2852710.0,0,0,,,
180,1200.0,2852710.0,2853910.0,0,0,,,
181,1200.0,2853910.0,2855110.0,0,0,,,
182,1200.0,2855110.0,2856310.0,0,0,,,
183,1200.0,2856310.0,2857510.0,0,0,,,
184,1200.0,2857510.0,2858710.0,0,0,,,
185,1200.0,2858710.0,2859910.0,0,0,,,
186,1200.0,2859910.0,2861110.0,0,0,,,
187,1200.0,2861110.0,2862310.0,0,0,,,
188,1200.0,2862310.0,2863510.0,0,0,,,
189,1200.0,2863510.0,2864710.0,0,0,,,
190,1200.0,2864710.0,2865910.0,0,0,,,
191,1200.0,2865910.0,2867110.0,0,0,,,
192,1200.0,2867110.0,2868310.0,0,0,,,
193,1200.0,2868310.0,2869510.0,0,0,,,
194,1200.0,2869510.0,2870710.0,0,0,,,
195,1200.0,2870710.0,2871910.0,0,0,,,
196,1200.0,2871910.0,2873110.0,0,0,,,
197,1200.0,2873110.0,2874310.0,0,0,,,
198,1200.0,2874310.0,2875510.0,0,0,,,
199,1200.0,2875510.0,2876710.0,0,0,,,
200,1200.0,2876710.0,2877910.0,0,0,,,
201,1200.0,2877910.0,2879110.0,0,0,,,
202,1200.0,2879110.0,2880310.0,0,0,,,
203,1200.0,2880310.0,2881510.0,0,0,,,
204,1200.0,2881510.0,2882710.0,0,0,,,
205,1200.0,2882710.0,2883910.0,0,0,,,
206,1200.0,2883910.0,2885110.0,0,0,,,
207,1200.0,2885110.0,2886310.0,0,0,,,
208,1200.0,2886310.0,2887510.0,0,0,,,
209,1200.0,2887510.0,2888710.0,1,0,,,
210,1200.0,2888710.0,2889910.0,0,0,,,
211,1200.0,2889910.0,2891110.0,0,0,,,
212,1200.0,2891110.0,2892310.0,200,22,0.11740512248933851,0.11740512248933851,300.04885630498524
213,1200.0,2892310.0,2893510.0,987,110,0.8702191358264972,0.8702191358264972,10.47802954772048
214,1200.0,2893510.0,2894710.0,881,96,1.4598483381567184,1.4598483381567184,8.42695985040925
215,1200.0,2894710.0,2895910.0,90,8,3.5675699073673277,3.5675699073673277,7.112684729064039
216,1200.0,2895910.0,2897110.0,1168,127,1.3864167173885353,1.3864167173885353,6.650577943342049
217,1200.0,2897110.0,2898310.0,771,85,1.219897075317208,1.219897075317208,11.370293868183403
